ランドマーク名,緯度,経度,発話範囲（半径ｍ）,該当範囲（半径ｍ）,クーポン取得範囲（半径m）
ホンダカーズ東京中央,35.691139,139.610556,400,0,800
ホンダカーズ東京中央,35.727111,139.718056,400,0,800
ホンダカーズ東京中央,35.722944,139.685167,400,0,800
ホンダカーズ東京中央,35.743778,139.702639,400,0,800
ホンダカーズ東京中央,35.749861,139.680333,400,0,800
ホンダカーズ東京中央,35.781472,139.689972,400,0,800
ホンダカーズ東京中央,35.778222,139.684722,400,0,800
ホンダカーズ東京中央,35.772556,139.637444,400,0,800
ホンダカーズ東京中央,35.737083,139.643167,400,0,800
ホンダカーズ東京中央,35.744444,139.616861,400,0,800
ホンダカーズ東京中央,35.762639,139.587806,400,0,800
ホンダカーズ東京中央,35.687139,139.56825,400,0,800
ホンダカーズ東京中央,35.653139,139.561444,400,0,800
ホンダカーズ東京中央,35.662667,139.525806,400,0,800
ホンダカーズ東京中央,35.671389,139.489444,400,0,800
ホンダカーズ東京中央,35.6895,139.506583,400,0,800
ホンダカーズ東京中央,35.676972,139.451778,400,0,800
ホンダカーズ東京中央,35.738694,139.512667,400,0,800
ホンダカーズ東京中央,35.730139,139.474611,400,0,800
ホンダカーズ東京中央,35.732167,139.538389,400,0,800
ホンダカーズ東京中央,35.730722,139.533333,400,0,800
ホンダカーズ東京中央,35.77225,139.481806,400,0,800
ホンダカーズ東京中央,35.693056,139.38875,400,0,800
ホンダカーズ東京中央,35.715,139.418667,400,0,800
ホンダカーズ東京中央,35.685778,139.415944,400,0,800
ホンダカーズ東京中央,35.666167,139.363639,400,0,800
ホンダカーズ東京中央,35.663833,139.32375,400,0,800
ホンダカーズ東京中央,35.6275,139.40425,400,0,800
ホンダカーズ東京中央,35.616556,139.382361,400,0,800
ホンダカーズ東京中央,35.638083,139.294972,400,0,800
ホンダカーズ東京中央,35.531167,139.461444,400,0,800
ホンダカーズ東京中央,35.525583,139.46575,400,0,800
ホンダカーズ東京中央,35.552361,139.440083,400,0,800
ホンダカーズ東京中央,35.574972,139.417194,400,0,800
ホンダカーズ東京中央,35.589028,139.458889,400,0,800
ホンダカーズ東京中央,35.731972,139.565194,400,0,800
ホンダカーズ東京中央,35.634028,139.445528,400,0,800
ホンダカーズ東京中央,35.747194,139.438222,400,0,800
ホンダカーズ全国,35.730869,139.289255,400,0,800
ホンダカーズ全国,35.771488,139.314985,400,0,800
ホンダカーズ全国,35.732881,139.866856,400,0,800
ホンダカーズ全国,35.74313,139.842194,400,0,800
ホンダカーズ全国,35.780078,139.860249,400,0,800
ホンダカーズ全国,35.700722,139.881253,400,0,800
ホンダカーズ全国,35.708259,139.874098,400,0,800
ホンダカーズ全国,35.66885,139.867428,400,0,800
ホンダカーズ全国,35.671794,139.876157,400,0,800
ホンダカーズ全国,35.719564,139.890715,400,0,800
ホンダカーズ全国,35.701319,139.821476,400,0,800
ホンダカーズ全国,35.669529,139.820948,400,0,800
ホンダカーズ全国,35.691387,139.815744,400,0,800
ホンダカーズ全国,35.717843,139.372416,400,0,800
ホンダカーズ全国,35.784864,139.312301,400,0,800
ホンダカーズ全国,35.652628,139.391616,400,0,800
ホンダカーズ全国,35.678626,139.282669,400,0,800
ホンダカーズ全国,35.662079,139.350319,400,0,800
ホンダカーズ全国,35.641749,139.289267,400,0,800
ホンダカーズ全国,35.746231,139.390891,400,0,800
ホンダカーズ全国,35.705702,139.56861,400,0,800
ホンダカーズ全国,35.752429,139.329221,400,0,800
ホンダカーズ全国,35.707103,139.744125,400,0,800
ホンダカーズ全国,35.772987,139.724347,400,0,800
ホンダカーズ全国,35.714838,139.814453,400,0,800
ホンダカーズ全国,35.712383,139.415056,400,0,800
ホンダカーズ全国,35.746874,139.625229,400,0,800
ホンダカーズ全国,35.183907,136.804401,400,0,800
ホンダカーズ全国,35.091796,137.080933,400,0,800
ホンダカーズ全国,35.094557,137.068951,400,0,800
ホンダカーズ全国,34.961937,137.070101,400,0,800
ホンダカーズ全国,34.978688,137.084152,400,0,800
ホンダカーズ全国,34.994289,137.075483,400,0,800
ホンダカーズ全国,34.96662,137.064607,400,0,800
ホンダカーズ全国,34.970855,137.052005,400,0,800
ホンダカーズ全国,35.283556,136.808832,400,0,800
ホンダカーズ全国,35.317848,136.771224,400,0,800
ホンダカーズ全国,35.310269,136.775638,400,0,800
ホンダカーズ全国,35.309806,136.818488,400,0,800
ホンダカーズ全国,35.310121,136.754554,400,0,800
ホンダカーズ全国,35.298294,136.82013,400,0,800
ホンダカーズ全国,35.24991,136.80606,400,0,800
ホンダカーズ全国,35.262524,136.779942,400,0,800
ホンダカーズ全国,35.217215,136.739904,400,0,800
ホンダカーズ全国,34.924065,137.179007,400,0,800
ホンダカーズ全国,34.925358,137.166998,400,0,800
